engine_display,NOx,Non-COâ‚‚ (Contrail aCCF),CO2 Conservative,CO2 Optimistic,Total (Contrail aCCF) Conservative,Total (Contrail aCCF) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.13092296230972944,0.12820865031863515,0.0,0.0,0.12453402775197853,0.12453402775197853
GTF,-24.29210494929921,-24.189595690919553,-16.98010066229506,-16.98010066229506,-24.010568312369287,-24.010568312369287
GTF2035,-17.124823014164516,-17.18032713824312,-23.194691253595423,-23.194691253595423,-17.326379903303174,-17.326379903303174
GTF2035 - 20,-17.536565950737966,-17.571104467356633,-25.073089034742807,-37.94127044821948,-17.75407777053388,-18.073094157152102
GTF2035 - 100,-19.14430402527781,-19.098537662624764,-32.55211484331601,-95.50274991193976,-19.42919949843634,-20.98970000855626
GTF2035WI,-94.19650213842664,-93.4101687940415,-30.191115130806846,-30.191115130806846,-91.85033706849126,-91.85033706849126
GTF2035WI - 20,-94.11442543418084,-93.3118773969058,-31.347917868773184,-43.13856772479793,-91.78223142064819,-92.0734954335577
GTF2035WI - 100,-94.33835391772605,-93.48153542971961,-38.69340614397649,-95.91151221900307,-92.13003845494279,-93.542432617305
